slug,state_name,state_code,state_slug,avg_premium,min_coverage,helmet_law,top_insurer,title,subtitle,excerpt,metaTitle,metaDescription,metaKeywords,status,isPublished,showAds
motorcycle-insurance/california,California,CA,california,$800/year,15/30/5,Required,Progressive,Motorcycle Insurance in California (2024 Guide),Protect your bike with CA motorcycle coverage,California motorcycle insurance averages $800/year. Lane splitting is legal but helmets are required.,Motorcycle Insurance California | Compare Motorcycle Rates (2024),Find affordable motorcycle insurance in California. Average $800/year. Helmet required. Compare quotes from top insurers today.,"motorcycle insurance california,california motorcycle insurance,motorcycle coverage ca",PUBLISHED,true,true
motorcycle-insurance/california/los-angeles,California,CA,california,$920/year,15/30/5,Required,Progressive,Motorcycle Insurance in Los Angeles CA (2024),LA motorcycle insurance,Los Angeles riders pay more due to theft risk. Average $920/year.,Motorcycle Insurance Los Angeles CA | Compare LA Rates,Find motorcycle insurance in Los Angeles. Higher rates due to theft. Average $920/year. Compare quotes today.,"motorcycle insurance los angeles,LA motorcycle insurance,los angeles bike insurance",PUBLISHED,true,true
motorcycle-insurance/florida,Florida,FL,florida,$650/year,10/20/10,Required,GEICO,Motorcycle Insurance in Florida (2024 Guide),Florida motorcycle coverage,Florida has year-round riding weather. Average $650/year.,Motorcycle Insurance Florida | Compare Motorcycle Rates (2024),Find affordable motorcycle insurance in Florida. Average $650/year. Helmet required for under 21. Compare quotes today.,"motorcycle insurance florida,florida motorcycle insurance,fl bike insurance",PUBLISHED,true,true
motorcycle-insurance/florida/miami,Florida,FL,florida,$720/year,10/20/10,Required,GEICO,Motorcycle Insurance in Miami FL (2024),Miami motorcycle insurance,Miami riders enjoy tropical weather. Average $720/year.,Motorcycle Insurance Miami FL | Compare Miami Rates,Find motorcycle insurance in Miami. Average $720/year. Compare quotes from top insurers today.,"motorcycle insurance miami,miami motorcycle insurance",PUBLISHED,true,true
motorcycle-insurance/texas,Texas,TX,texas,$550/year,30/60/25,Required,Progressive,Motorcycle Insurance in Texas (2024 Guide),Texas motorcycle coverage,Texas has great riding roads. Average $550/year with higher minimum coverage.,Motorcycle Insurance Texas | Compare Motorcycle Rates (2024),Find affordable motorcycle insurance in Texas. Average $550/year. Higher minimum coverage required. Compare quotes today.,"motorcycle insurance texas,texas motorcycle insurance,tx bike insurance",PUBLISHED,true,true
motorcycle-insurance/texas/austin,Texas,TX,texas,$580/year,30/60/25,Required,Progressive,Motorcycle Insurance in Austin TX (2024),Austin motorcycle insurance,Austin has active riding community. Average $580/year.,Motorcycle Insurance Austin TX | Compare Austin Rates,Find motorcycle insurance in Austin. Average $580/year. Compare quotes from top insurers today.,"motorcycle insurance austin,austin motorcycle insurance",PUBLISHED,true,true
motorcycle-insurance/new-york,New York,NY,new-york,$900/year,25/50/10,Required,Allstate,Motorcycle Insurance in New York (2024 Guide),NY motorcycle coverage,New York has seasonal riding. Average $900/year.,Motorcycle Insurance New York | Compare Motorcycle Rates (2024),Find affordable motorcycle insurance in New York. Average $900/year. Helmet required. Compare quotes today.,"motorcycle insurance new york,new york motorcycle insurance,ny bike insurance",PUBLISHED,true,true
motorcycle-insurance/arizona,Arizona,AZ,arizona,$580/year,25/50/15,Required,Progressive,Motorcycle Insurance in Arizona (2024 Guide),Arizona motorcycle coverage,Arizona has excellent riding weather. Average $580/year.,Motorcycle Insurance Arizona | Compare Motorcycle Rates (2024),Find affordable motorcycle insurance in Arizona. Average $580/year. Helmet required for under 18. Compare quotes today.,"motorcycle insurance arizona,arizona motorcycle insurance,az bike insurance",PUBLISHED,true,true
motorcycle-insurance/arizona/phoenix,Arizona,AZ,arizona,$620/year,25/50/15,Required,Progressive,Motorcycle Insurance in Phoenix AZ (2024),Phoenix motorcycle insurance,Phoenix offers year-round riding. Average $620/year.,Motorcycle Insurance Phoenix AZ | Compare Phoenix Rates,Find motorcycle insurance in Phoenix. Average $620/year. Compare quotes from top insurers today.,"motorcycle insurance phoenix,phoenix motorcycle insurance",PUBLISHED,true,true
motorcycle-insurance/ohio,Ohio,OH,ohio,$480/year,25/50/25,Required,Progressive,Motorcycle Insurance in Ohio (2024 Guide),Ohio motorcycle coverage,Ohio has scenic riding routes. Average $480/year.,Motorcycle Insurance Ohio | Compare Motorcycle Rates (2024),Find affordable motorcycle insurance in Ohio. Average $480/year. Helmet required for under 18. Compare quotes today.,"motorcycle insurance ohio,ohio motorcycle insurance,oh bike insurance",PUBLISHED,true,true
